id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
5195679,Rental unit in Ottawa · ★4.93 · 1 bedroom · 1 bed · 1 bath,26877722,Erik,,Rideau-Vanier,45.42702,-75.68791,Entire home/apt,,30,14,2016-10-28,0.13,1,0,0,
5220678,Home in Ottawa · ★4.62 · 1 bedroom · 1 bed · 1 shared bath,24328926,Fay,,Alta Vista,45.38763,-75.65732,Private room,90,30,47,2023-02-20,0.44,2,89,1,Exempt
5851756,Bed and breakfast in Ottawa · ★4.62 · 1 bedroom · 1 bed · 1.5 shared baths,25461090,Irina,,Rideau-Vanier,45.428448,-75.675072,Private room,,1,21,2023-02-07,0.20,4,0,1,Exempt
5924541,Rental unit in Ottawa · ★4.68 · 2 bedrooms · 2 beds · 1 bath,7354245,Lisa,,Somerset,45.412,-75.69986,Entire home/apt,129,30,84,2023-10-14,0.79,26,320,3,
5991027,Bungalow in Ottawa · ★4.79 · 1 bedroom · 1 bed · 1 private bath,5757357,Molly,,Rideau-Rockcliffe,45.42924,-75.65463,Private room,,30,166,2019-07-09,1.61,1,0,0,
6032518,Bungalow in Ottawa · ★4.50 · 1 bedroom · 1 bed · 1 shared bath,31208679,Debra,,West Carleton-March,45.44504,-76.05336,Private room,100,30,4,2017-10-22,0.05,2,364,0,
6121836,Home in Ottawa · ★4.94 · 1 bedroom · 2 beds · 1 shared bath,31556447,Nancy And John,,College,45.35416,-75.73802,Private room,78,1,150,2023-10-13,1.43,2,0,31,STR-827-256
6121871,Home in Ottawa · ★4.88 · 1 bedroom · 2 beds · 1 private bath,31556447,Nancy And John,,College,45.35532,-75.73721,Private room,78,1,266,2023-10-30,2.54,2,310,26,STR-827-256
6153741,Rental unit in Ottawa · ★4.69 · 1 bedroom · 2 beds · 1 bath,14484439,Haidee,,Rideau-Vanier,45.42825,-75.68951,Entire home/apt,111,2,29,2019-09-28,0.28,4,50,0,STR-825-132
6194931,Home in Ottawa · ★4.76 · 1 bedroom · 2 beds · 1 shared bath,32125722,Xiaolan,,Gloucester-Southgate,45.34658,-75.62603,Private room,40,30,293,2020-02-01,2.79,1,347,0,
6197420,Townhouse in Ottawa · ★4.70 · 3 bedrooms · 4 beds · 1.5 baths,7354245,Lisa,,Somerset,45.41342,-75.70607,Entire home/apt,194,30,136,2023-08-11,1.32,26,291,2,Exempt
6312763,Home in Ottawa · 1 bedroom · 1 bed · 1 bath,32838271,Regius,,Bay,45.34857,-75.81932,Private room,200,30,0,,,1,0,0,
6475461,Home in Ottawa · ★4.93 · 1 bedroom · 1 bed · 1 private bath,33827123,Gerald,,Bay,45.36383,-75.86153,Private room,89,2,185,2023-11-12,1.78,1,0,27,STR-826-808
6478453,Home in Ottawa · ★4.92 · 1 bedroom · 1 bed · 1 private bath,33836567,Linden,,Capital,45.39851,-75.69425,Private room,47,30,146,2023-12-17,1.40,2,251,4,
6500659,Chalet in Ottawa · ★4.98 · 2 bedrooms · 2 beds · 2 baths,33978514,Peter,,West Carleton-March,45.42571,-76.07842,Entire home/apt,325,30,176,2023-01-15,1.69,1,358,2,
6512008,Rental unit in Ottawa · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,16181239,Gaëtane,,Kitchissippi,45.39607,-75.75796,Private room,95,1,10,2023-10-03,0.16,2,0,5,STR-828-939
6512045,Rental unit in Ottawa · ★4.90 · 1 bedroom · 1 bed · 1 shared bath,16181239,Gaëtane,,Kitchissippi,45.39546,-75.75959,Private room,95,1,21,2023-08-06,0.24,2,10,5,STR-828-939
6515758,Home in Ottawa · ★4.96 · 2 bedrooms · 3 beds · 1 bath,25171537,Jeffrey And Stephanie,,Rideau-Vanier,45.43569,-75.6929,Entire home/apt,,30,169,2021-05-27,1.63,1,0,0,
6586860,Home in Ottawa · ★4.77 · 1 bedroom · 1 bed · 1 bath,32721950,Hanan,,Rideau-Rockcliffe,45.4292,-75.64563,Entire home/apt,101,4,155,2023-11-01,1.49,1,359,9,STR-827-086
6589324,Loft in Ottawa · ★4.93 · Studio · 2 beds · 2 baths,1878522,Ursula,,Rideau-Rockcliffe,45.44129,-75.68632,Entire home/apt,196,2,212,2023-11-25,2.33,2,0,33,STR-827-177
6591110,Rental unit in Ottawa · ★4.87 · 1 bedroom · 2 beds · 1 bath,34481136,Jane And Serge,,Rideau-Vanier,45.43304,-75.66247,Entire home/apt,128,2,181,2021-08-22,1.84,1,13,0,Exempt
