Player,Tm,vs,Opp,W/L,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,GmSc,Date
Reggie Jackson,DEN,@,OKC,W,22:00,2,3,.667,1,2,.500,0,0,,0,0,0,6,2,0,2,4,5,+13,6.3,2023-10-29
Bobby Portis,MIL,,ATL,L,21:01,5,10,.500,0,2,.000,2,2,1.000,1,3,4,2,0,0,3,2,12,-5,6.2,2023-10-29
Kentavious Caldwell-Pope,DEN,@,OKC,W,29:52,2,5,.400,1,4,.250,2,2,1.000,0,3,3,1,2,0,1,2,7,+21,6.1,2023-10-29
Toumani Camara,POR,@,PHI,L,27:40,5,16,.313,1,5,.200,1,2,.500,3,0,3,2,0,2,0,3,12,-13,6.1,2023-10-29
AJ Griffin,ATL,@,MIL,W,9:30,2,3,.667,2,2,1.000,0,0,,1,0,1,1,1,0,1,0,6,-7,6.1,2023-10-29
Doug McDermott,SAS,@,LAC,L,14:43,3,6,.500,2,4,.500,0,0,,0,3,3,2,0,0,0,3,8,-8,6.1,2023-10-29
Patrick Beverley,PHI,,POR,W,20:26,2,3,.667,0,0,,0,0,,1,1,2,2,1,3,1,3,4,+8,6.0,2023-10-29
Mason Plumlee,LAC,,SAS,W,20:41,2,3,.667,0,0,,0,0,,2,4,6,1,0,0,0,0,4,+7,6.0,2023-10-29
Jeff Green,HOU,,GSW,L,21:01,2,7,.286,0,2,.000,2,2,1.000,1,2,3,2,0,1,0,0,6,-13,5.3,2023-10-29
Harrison Barnes,SAC,,LAL,W,38:36,3,9,.333,0,4,.000,2,2,1.000,0,2,2,2,0,1,0,1,8,-4,5.2,2023-10-29
Kobe Brown,LAC,,SAS,W,4:50,1,2,.500,1,2,.500,0,0,,0,4,4,1,1,0,0,1,3,+10,4.5,2023-10-29
Andrew Wiggins,GSW,@,HOU,W,28:12,4,10,.400,1,3,.333,4,5,.800,0,0,0,0,0,0,2,2,13,-4,4.4,2023-10-29
MarJon Beauchamp,MIL,,ATL,L,16:08,3,5,.600,2,2,1.000,0,0,,1,0,1,0,0,0,1,3,8,-2,4.2,2023-10-29
P.J. Tucker,PHI,,POR,W,19:34,1,2,.500,1,2,.500,0,0,,0,4,4,0,1,2,1,1,3,+26,4.2,2023-10-29
Robert Covington,LAC,,SAS,W,26:29,0,1,.000,0,1,.000,0,0,,1,2,3,3,1,1,0,1,0,+25,4.0,2023-10-29
Isaiah Joe,OKC,,DEN,L,16:42,2,7,.286,1,4,.250,0,0,,0,2,2,1,4,0,1,3,5,-5,4.0,2023-10-29
Victor Wembanyama,SAS,@,LAC,L,26:16,4,10,.400,0,2,.000,3,6,.500,1,4,5,2,1,1,5,1,11,-14,4.0,2023-10-29
Jaxson Hayes,LAL,@,SAC,L,7:11,1,1,1.000,0,0,,2,2,1.000,0,2,2,0,0,0,0,1,4,+1,3.9,2023-10-29
JaVale McGee,SAC,,LAL,W,15:29,2,2,1.000,0,0,,0,0,,0,0,0,0,1,1,1,1,4,+4,3.7,2023-10-29
Fred VanVleet,HOU,,GSW,L,32:20,2,13,.154,2,7,.286,2,2,1.000,0,0,0,4,2,0,0,2,8,-13,3.7,2023-10-29
Josh Giddey,OKC,,DEN,L,21:55,4,13,.308,1,2,.500,0,0,,1,1,2,3,1,0,2,0,9,-18,3.6,2023-10-29
Danuel House,PHI,,POR,W,10:16,1,2,.500,0,1,.000,0,0,,1,1,2,2,1,0,1,0,2,-3,3.4,2023-10-29
Davion Mitchell,SAC,,LAL,W,15:30,2,4,.500,1,2,.500,0,0,,0,2,2,2,0,0,0,4,5,-17,3.4,2023-10-29
Furkan Korkmaz,PHI,,POR,W,2:41,1,1,1.000,1,1,1.000,1,2,.500,0,0,0,0,0,0,0,0,4,+3,3.3,2023-10-29
Aaron Wiggins,OKC,,DEN,L,10:08,2,3,.667,0,1,.000,1,2,.500,0,0,0,0,0,0,0,0,5,-8,3.3,2023-10-29
Moses Moody,GSW,@,HOU,W,17:28,1,6,.167,1,5,.200,2,2,1.000,0,3,3,1,0,1,0,1,5,+11,3.1,2023-10-29
Cameron Payne,MIL,,ATL,L,14:24,2,3,.667,2,3,.667,0,0,,0,1,1,1,0,0,1,4,6,+3,3.1,2023-10-29
Jae Crowder,MIL,,ATL,L,25:57,1,4,.250,0,3,.000,0,0,,0,3,3,3,0,1,0,1,2,-27,2.9,2023-10-29
Shai Gilgeous-Alexander,OKC,,DEN,L,28:19,2,16,.125,0,4,.000,3,4,.750,1,3,4,7,1,0,0,2,7,-22,2.9,2023-10-29
Pat Connaughton,MIL,,ATL,L,23:19,2,9,.222,1,6,.167,0,0,,1,2,3,2,2,0,1,1,5,-15,2.8,2023-10-29
Ousmane Dieng,OKC,,DEN,L,19:14,2,8,.250,0,5,.000,1,1,1.000,0,5,5,1,0,0,0,0,5,-10,2.4,2023-10-29
Chris Duarte,SAC,,LAL,W,14:04,2,4,.500,0,2,.000,0,0,,0,2,2,0,1,0,0,3,4,+1,2.4,2023-10-29
Malaki Branham,SAS,@,LAC,L,21:02,3,12,.250,2,4,.500,1,1,1.000,0,1,1,2,1,0,2,1,9,-10,2.1,2023-10-29
Zach Collins,SAS,@,LAC,L,24:50,4,11,.364,1,4,.250,0,0,,1,5,6,4,0,0,5,2,9,-36,2.1,2023-10-29
Jonathan Kuminga,GSW,@,HOU,W,18:48,3,8,.375,1,3,.333,2,3,.667,0,2,2,1,1,0,3,4,9,+4,1.9,2023-10-29
